Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Pivotable date
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-09,219,monthly,369229,01/09/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-09,284,monthly,453992,01/09/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-10,243,monthly,368084,01/10/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-10,239,monthly,468857,01/10/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-11,260,monthly,361402,01/11/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-11,220,monthly,470788,01/11/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2017-12,285,monthly,349429,01/12/2017
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2017-12,304,monthly,465625,01/12/2017
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-01,266,monthly,343800,01/01/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-01,208,monthly,447751,01/01/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-02,390,monthly,347618,01/02/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-02,209,monthly,444211,01/02/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-03,248,monthly,352992,01/03/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-03,259,monthly,446384,01/03/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-04,265,monthly,360618,01/04/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-04,188,monthly,455910,01/04/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-05,261,monthly,363096,01/05/2018
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2018-05,218,monthly,464488,01/05/2018
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2018-06,274,monthly,366703,01/06/2018
